[ 2016-06-30T13:28:50+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-30T13:28:50+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:28:50+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.039003s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.024001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.033001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.000000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.031001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-06-30T13:28:51+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-30T13:29:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-30T13:29:19+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-30T13:29:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.012001s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.013001s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013001s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.000000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.032002s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032002s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-30T13:29:20+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
