[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.040002s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041003s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:00:38+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:00:59+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T00:00:59+08:00 ] /QA/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:00:59+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.010001s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.009001s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.008001s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --START--
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:00+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:13+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T00:01:13+08:00 ] /QA/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:13+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.009001s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010001s ]
[ 2016-06-23T00:01:14+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.002000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012001s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --START--
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --START--
