[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.059003s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.081005s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.075004s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.059003s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.051003s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 23 行.
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT `experience`,`money` FROM `wl_index_user` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.013001s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.029002s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.029002s ]
[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.157009s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.157009s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.007000s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002001s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014001s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006000s ]
[ 2016-08-18T13:44:20+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.006000s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ route_check ] --START--
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Run CheckRoute Behavior [ RunTime:0.024001s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ route_check ] --END-- [ RunTime:0.024001s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.009000s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-18T13:44:22+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 13 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.068004s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 13 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 13 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 13 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ view_template ] --START--
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ view_parse ] --START--
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Run ParseTemplate Behavior [ RunTime:0.047003s ]
[ 2016-08-18T13:44:23+08:00 ] /QA/index.php/Show/index/id/13 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047003s ]
