[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.009001s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.005001s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.006001s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.009001s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-08-04T18:19:55+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
