[ 2016-06-23T00:15:29+08:00 ] /QA/admin.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.030002s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032002s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:25:26+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.012001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-06-23T23:32:09+08:00 ] /QA/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016001s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:15+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:32:53+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:19+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:36+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2016-06-23T23:34:45+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016001s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:09+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016001s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:35:33+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T23:36:17+08:00 ] /QA/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
